json_path,json_name,json_subtitle,status,method,notes,csv_line,id,uziti,zalm,verse,lekcionar,strana,doba,prilezitost,cyklus,odpoved,kb
data/json/pust/popelecni_streda_X4.json,Čtvrtek po Popeleční středě,,matched,exact-fixed,,90,Ps001_01,ID_0089,Žl 1,1-2.3.4+6,2,115,c-Postní,Čtvrtek po Popeleční středě,,11,9
data/json/pust/popelecni_streda_X5.json,Pátek po Popeleční středě,,matched,exact-fixed,,91,Ps051_13,ID_0090,Žl 51(50),3-4.5-6a.18-19,2,118,c-Postní,Pátek po Popeleční středě,,16,109
data/json/pust/popelecni_streda_X6.json,Sobota po Popeleční středě,,matched,exact-fixed,,92,Ps086_01,ID_0091,Žl 86(85),1-2.3-4.5-6,2,120,c-Postní,Sobota po Popeleční středě,,5,160
data/json/pust/pust_01.json,1. neděle postní,,matched,exact-fixed,,93,Ps051_10,ID_0092,Žl 51(50),3-4.5-6a.12-13.14+17,1A,117,c-Postní,1. neděle postní,A,16,115
data/json/pust/pust_01.json,1. neděle postní,,matched,exact-fixed,,94,Ps025_07,ID_0093,Žl 25(24),4-5ab.6+7bc.8-9,1B,70,c-Postní,1 neděle postní,B,17,40
data/json/pust/pust_01.json,1. neděle postní,,matched,exact-fixed,,95,Ps091_01,ID_0094,Žl 91(90),1-2.10-11.12-13.14-15,1C,71,c-Postní,1. neděle postní,C,18,174
data/json/pust/pust_01_X1.json,Pondělí po 1. neděli postní,,matched,exact-fixed,,96,Ps019_10,ID_0095,Žl 19(18),8.9.10.15,2,122,c-Postní,Pondělí po 1. neděli postní,,21,28
data/json/pust/pust_01_X2.json,Úterý po 1. neděli postní,,matched,exact-fixed,,97,Ps034_26,ID_0096,Žl 34(33),4-5.6-7.16-17.18-19,2,125,c-Postní,Úterý po 1. neděli postní,,25,85
data/json/pust/pust_01_X3.json,Středa po 1. neděli postní,,matched,exact-fixed,,98,Ps051_06,ID_0097,Žl 51(50),3-4.12-13.18-19,2,127,c-Postní,Středa po 1. neděli postní,,57,119
data/json/pust/pust_01_X4.json,Čtvrtek po 1. neděli postní,,matched,exact-fixed,,99,Ps138_03,ID_0098,Žl 138(137),1-2a.2bc+3.4-5.7c-8,2,129,c-Postní,Čtvrtek po 1. neděli postní,,39,278
data/json/pust/pust_01_X5.json,Pátek po 1. neděli postní,,matched,exact-fixed,,100,Ps130_01,ID_0099,Žl 130(129),1-2.3-4.5-6a.6b-8,2,131,c-Postní,Pátek po 1. neděli postní,,26,268
data/json/pust/pust_01_X6.json,Sobota po 1. neděli postní,,matched,exact-fixed,,101,Ps119_03,ID_0100,Žl 119(118),1-2.4-5.7-8,2,133,c-Postní,Sobota po 1. neděli postní,,11,248
data/json/pust/pust_02.json,2. neděle postní,,matched,exact-fixed,,102,Ps033_20,ID_0101,Žl 33(32),4-5.18-19.20+22,1A,121,c-Postní,2. neděle postní,A,4,70
data/json/pust/pust_02.json,2. neděle postní,,matched,exact-fixed,,103,Ps116_06,ID_0102,Žl 116(115),10+15.16-17.18-19,1B,74,c-Postní,2. neděle postní,B,49,230
data/json/pust/pust_02.json,2. neděle postní,,matched,exact-fixed,,104,Ps027_13,ID_0103,Žl 27(26),1.7-8a.8b-9abc.13-14,1C,75,c-Postní,2. neděle postní,C,20,54
data/json/pust/pust_02_X1.json,Pondělí po 2. neděli postní,,matched,exact-fixed,,105,Ps079_01,ID_0104,Žl 79(78),8.9.11+13,2,135,c-Postní,Pondělí po 2. neděli postní,,57,148
data/json/pust/pust_02_X2.json,Úterý po 2. neděli postní,,matched,exact-fixed,,106,Ps050_09,ID_0105,Žl 50(49),8-9.16bc-17.21+23,2,138,c-Postní,Úterý po 2. neděli postní,,11,108
data/json/pust/pust_02_X3.json,Středa po 2. neděli postní,,matched,exact-fixed,,107,Ps031_09,ID_0106,Žl 31(30),5-6.14.15-16,2,140,c-Postní,Středa po 2. neděli postní,,5,61
data/json/pust/pust_02_X4.json,Čtvrtek po 2. neděli postní,,matched,exact-fixed,,108,Ps001_02,ID_0107,Žl 1,1-2.3.4+6,2,142,c-Postní,Čtvrtek po 2. neděli postní,,49,9
data/json/pust/pust_02_X5.json,Pátek po 2. neděli postní,,matched,exact-fixed,,109,Ps105_10,ID_0108,Žl 105(104),16-17.18-19.20-21,2,145,c-Postní,Pátek po 2. neděli postní,,39,215
data/json/pust/pust_02_X6.json,Sobota po 2. neděli postní,,matched,exact-fixed,,110,Ps103_12,ID_0109,Žl 103(102),1-2.3-4.9-10.11-12,2,147,c-Postní,Sobota po 2. neděli postní,,17,202
data/json/pust/pust_03.json,3. neděle postní,,matched,exact-fixed,,112,Ps095_02,ID_0111,Žl 95(94),1-2.6-7.8-9,1A,124,c-Postní,3. neděle postní,A,21,178
data/json/pust/pust_03.json,3. neděle postní,,matched,exact-fixed,,113,Ps019_07,ID_0112,Žl 19(18),8.9.10.11,1B,78,c-Postní,3. neděle postní,B,22,27
data/json/pust/pust_03.json,3. neděle postní,,matched,exact-fixed,,114,Ps103_05,ID_0113,Žl 103(102),1-2.3-4.6-7.8+11,1C,79,c-Postní,3. neděle postní,C,17,198
data/json/pust/pust_03_X1.json,Pátek po 2. neděli postní,,matched,exact-fixed,"Soubor se jmenuje jako pondělí po 3. neděli, ale JSON name je Pátek po 2. neděli postní; párováno podle aktuálního name.",109,Ps105_10,ID_0108,Žl 105(104),16-17.18-19.20-21,2,145,c-Postní,Pátek po 2. neděli postní,,39,215
data/json/pust/pust_03_X2.json,Úterý po 3. neděli postní,,matched,exact-fixed,,116,Ps025_07,ID_0115,Žl 25(24),4-5ab.6+7bc.8-9,2,157,c-Postní,Úterý po 3. neděli postní,,17,40
data/json/pust/pust_03_X3.json,Středa po 3. neděli postní,,matched,exact-fixed,,117,Ps147_03,ID_0116,Žl 147,12-13.15-16.19-20,2,160,c-Postní,Středa po 3. neděli postní,,39,298
data/json/pust/pust_03_X4.json,Čtvrtek po 3. neděli postní,,matched,exact-fixed,,118,Ps095_02,ID_0117,Žl 95(94),1-2.6-7.8-9,2,162,c-Postní,Čtvrtek po 3. neděli postní,,21,178
data/json/pust/pust_03_X5.json,Pátek po 3. neděli postní,,matched,exact-fixed,,119,Ps081_02,ID_0118,Žl 81(80),6c-8a.8bc-9.10-11ab.14+17,2,165,c-Postní,Pátek po 3. neděli postní,,39,152
data/json/pust/pust_03_X6.json,Sobota po 3. neděli postní,,matched,exact-fixed,,120,Ps051_07,ID_0119,Žl 51(50),3-4.18-19.20-21ab,2,167,c-Postní,Sobota po 3. neděli postní,,57,120
data/json/pust/pust_04_A.json,4. neděle postní A,,matched,exact-fixed,,122,Ps023_01,ID_0121,Žl 23(22),1-3.4.5.6,1A,132,c-Postní,4. neděle postní,A,23,34
data/json/pust/pust_04_B.json,4. neděle postní B,,matched,exact-fixed,,123,Ps137_01,ID_0122,Žl 137(136),1-2.3.4-5.6,1B,88,c-Postní,4. neděle postní,B,24,275
data/json/pust/pust_04_C.json,4. neděle postní C,,matched,exact-fixed,,124,Ps034_07,ID_0123,Žl 34(33),2-3.4-5.6-7,1C,89,c-Postní,4. neděle postní,C,25,73
data/json/pust/pust_04_X1.json,Pondělí po 4. neděli postní,,matched,exact-fixed,,125,Ps030_01,ID_0124,Žl 30(29),2+4.5-6.11-12a+13b,2,173,c-Postní,Pondělí po 4. neděli postní,,34,56
data/json/pust/pust_04_X2.json,Úterý po 4. neděli postní,,matched,exact-fixed,,126,Ps046_02,ID_0125,Žl 46(45),2-3.5-6.8-9,2,176,c-Postní,Úterý po 4. neděli postní,,49,104
data/json/pust/pust_04_X3.json,Středa po 4. neděli postní,,matched,exact-fixed,,127,Ps145_26,ID_0126,Žl 145(144),8-9.13cd-14.17-18,2,178,c-Postní,Středa po 4. neděli postní,,17,289
